'Can not submit. Please try again!','Can not submit. Please try again!'
'Disabled','Disabled'
'Email','Email'
'Enabled','Enabled'
'First Name','First Name'
'Get API credentials','Get API credentials'
'Guest','Guest'
'Item does not exist','Item does not exist'
'Item Manager','Item Manager'
'Item was successfully deleted','Item was successfully deleted'
'Item was successfully saved','Item was successfully saved'
'Items Manager','Items Manager'
'Last Name','Last Name'
'Last name','Last name'
'Magebuzz Extension','Magebuzz Extension'
'MailChimp Campaign Send: %s %s at %s','MailChimp Campaign Send: %s %s at %s'
'MailChimp Cleaned Emails: %s %s at %s reason: %s','MailChimp Cleaned Emails: %s %s at %s reason: %s'
'Mailchimp Configuration','Mailchimp Configuration'
'Mailchimp Permission Setting','Mailchimp Permission Setting'
'Mailchimp','Mailchimp'
'members','members'
'Newsletter Mailchimp','Newsletter Mailchimp'
'Newsletter','Newsletter'
'Please select item(s)','Please select item(s)'
'Show First name','Show First name'
'Show Last name','Show Last name'
'Sign up for our newsletter','Sign up for our newsletter'
'Sign Up for Our Newsletter:','Sign Up for Our Newsletter:'
'Store','Store'
'Subscribe','Subscribe'
'Total of %d record(s) were successfully deleted','Total of %d record(s) were successfully deleted'
'Total of %d record(s) were successfully updated','Total of %d record(s) were successfully updated'
'Unable to find item to save','Unable to find item to save'
'Your submit has been successfully. Thanks you!','Your submit has been successfully. Thanks you!'